User_ID,Total_Correct_Answers,Total_Attempted_Questions,Proficiency_Level
sky@gmail.com,1,10,Beginner
neon@outlook.com,2,10,Beginner
code@yahoo.com,3,10,Beginner
blaze@icloud.com,4,10,Intermediate
byte@hotmail.com,5,10,Intermediate
pulse@aol.com,6,10,Intermediate
beam@protonmail.com,7,10,Intermediate
spark@fastmail.com,8,10,Advanced
orbit@zoho.com,9,10,Advanced
nova@mail.com,10,10,Advanced
asky@gmail.com,1,10,Beginner
aneon@outlook.com,2,10,Beginner
acode@yahoo.com,3,10,Beginner
ablaze@icloud.com,4,10,Intermediate
abyte@hotmail.com,5,10,Intermediate
apulse@aol.com,6,10,Intermediate
abeam@protonmail.com,7,10,Intermediate
aspark@fastmail.com,8,10,Advanced
aorbit@zoho.com,9,10,Advanced
anova@mail.com,10,10,Advanced
bsky@gmail.com,1,10,Beginner
bneon@outlook.com,2,10,Beginner
bcode@yahoo.com,3,10,Beginner
bblaze@icloud.com,4,10,Intermediate
bbyte@hotmail.com,5,10,Intermediate
bpulse@aol.com,6,10,Intermediate
bbeam@protonmail.com,7,10,Intermediate
bspark@fastmail.com,8,10,Advanced
borbit@zoho.com,9,10,Advanced
bnova@mail.com,10,10,Advanced
